first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Jo,Jorgensen,Lib,67957,437,0,,,,0.0124,AZ,04001,toss-up
Donald,Trump,GOP,8639,35557,0,,,True,0.5883,AZ,04003,toss-up
Joe,Biden,Dem,1036,23732,0,,X,,0.3926,AZ,04003,toss-up
Jo,Jorgensen,Lib,67957,1153,0,,,,0.0191,AZ,04003,toss-up
Joe,Biden,Dem,1036,44698,0,,X,,0.61,AZ,04005,toss-up
Donald,Trump,GOP,8639,27052,0,,,True,0.3692,AZ,04005,toss-up
Jo,Jorgensen,Lib,67957,1522,0,,,,0.0208,AZ,04005,toss-up
Donald,Trump,GOP,8639,18377,0,,,True,0.6643,AZ,04007,toss-up
Joe,Biden,Dem,1036,8943,0,,X,,0.3233,AZ,04007,toss-up
Jo,Jorgensen,Lib,67957,342,0,,,,0.0124,AZ,04007,toss-up
Donald,Trump,GOP,8639,10749,0,,,True,0.7168,AZ,04009,toss-up
Joe,Biden,Dem,1036,4034,0,,X,,0.269,AZ,04009,toss-up
Jo,Jorgensen,Lib,67957,212,0,,,,0.0141,AZ,04009,toss-up
Donald,Trump,GOP,8639,2433,0,,,True,0.6602,AZ,04011,toss-up
Joe,Biden,Dem,1036,1182,0,,X,,0.3208,AZ,04011,toss-up
Jo,Jorgensen,Lib,67957,70,0,,,,0.019,AZ,04011,toss-up
Donald,Trump,GOP,8639,5129,0,,,True,0.6877,AZ,04012,toss-up
Joe,Biden,Dem,1036,2236,0,,X,,0.2998,AZ,04012,toss-up
Jo,Jorgensen,Lib,67957,93,0,,,,0.0125,AZ,04012,toss-up
Joe,Biden,Dem,1036,1040774,798333,,X,,0.5032,AZ,04013,toss-up
Donald,Trump,GOP,8639,995665,656322,,,True,0.4814,AZ,04013,toss-up
Jo,Jorgensen,Lib,67957,31705,18531,,,,0.0153,AZ,04013,toss-up
Donald,Trump,GOP,8639,78535,0,,,True,0.7503,AZ,04015,toss-up
Joe,Biden,Dem,1036,24831,0,,X,,0.2372,AZ,04015,toss-up
Jo,Jorgensen,Lib,67957,1302,0,,,,0.0124,AZ,04015,toss-up
Donald,Trump,GOP,8639,27657,0,,,True,0.5343,AZ,04017,toss-up
Joe,Biden,Dem,1036,23383,0,,X,,0.4517,AZ,04017,toss-up
Jo,Jorgensen,Lib,67957,727,0,,,,0.014,AZ,04017,toss-up
Joe,Biden,Dem,1036,304981,260883,,X,,0.5861,AZ,04019,toss-up
Donald,Trump,GOP,8639,207758,142717,,,True,0.3992,AZ,04019,toss-up
Jo,Jorgensen,Lib,67957,7658,5194,,,,0.0147,AZ,04019,toss-up
Donald,Trump,GOP,8639,107077,52948,,,True,0.5789,AZ,04021,toss-up
Joe,Biden,Dem,1036,75106,50290,,X,,0.406,AZ,04021,toss-up
Jo,Jorgensen,Lib,67957,2791,1349,,,,0.0151,AZ,04021,toss-up
Joe,Biden,Dem,1036,13138,0,,X,,0.6718,AZ,04023,toss-up
Donald,Trump,GOP,8639,6194,0,,,True,0.3167,AZ,04023,toss-up
Jo,Jorgensen,Lib,67957,224,0,,,,0.0115,AZ,04023,toss-up
Donald,Trump,GOP,8639,91527,0,,,True,0.6391,AZ,04025,toss-up
Joe,Biden,Dem,1036,49602,0,,X,,0.3463,AZ,04025,toss-up
Jo,Jorgensen,Lib,67957,2092,0,,,,0.0146,AZ,04025,toss-up
Donald,Trump,GOP,8639,36534,0,,,True,0.5228,AZ,04027,toss-up
Joe,Biden,Dem,1036,32210,0,,X,,0.4609,AZ,04027,toss-up
Jo,Jorgensen,Lib,67957,1137,0,,,,0.0163,AZ,04027,toss-up
Donald,Trump,GOP,8639,4304,3803,,X,True,0.684,AR,05001,likely-r
Joe,Biden,Dem,1036,1818,1591,,,,0.2889,AR,05001,likely-r
Jo,Jorgensen,Lib,67957,46,38,,,,0.0073,AR,05001,likely-r
Gloria,La Riva,PSL,7623,23,20,,,,0.0037,AR,05001,likely-r
Phil,Collins,Ind,67945,22,18,,,,0.0035,AR,05001,likely-r
Kanye,West,Ind,69343,19,14,,,,0.003,AR,05001,likely-r
Howie,Hawkins,Grn,32916,16,11,,,,0.0025,AR,05001,likely-r
C.L.,Gammon,Ind,660,13,11,,,,0.0021,AR,05001,likely-r
Don,Blankenship,CST,66288,9,7,,,,0.0014,AR,05001,likely-r
Brian,Carroll,ASP,66553,7,5,,,,0.0011,AR,05001,likely-r
Roque,De La Fuente,Ind,64542,7,7,,,,0.0011,AR,05001,likely-r
Brock,Pierce,Ind,69341,4,4,,,,0.0006,AR,05001,likely-r
J.R.,Myers,Oth,64469,4,2,,,,0.0006,AR,05001,likely-r
Donald,Trump,GOP,8639,5548,4304,,X,True,0.7,AR,05003,likely-r
Joe,Biden,Dem,1036,2125,1656,,,,0.2681,AR,05003,likely-r
Phil,Collins,Ind,67945,44,23,,,,0.0056,AR,05003,likely-r
Kanye,West,Ind,69343,43,27,,,,0.0054,AR,05003,likely-r
C.L.,Gammon,Ind,660,34,20,,,,0.0043,AR,05003,likely-r
Don,Blankenship,CST,66288,30,19,,,,0.0038,AR,05003,likely-r
Gloria,La Riva,PSL,7623,27,13,,,,0.0034,AR,05003,likely-r
Jo,Jorgensen,Lib,67957,25,15,,,,0.0032,AR,05003,likely-r
J.R.,Myers,Oth,64469,17,8,,,,0.0021,AR,05003,likely-r
Brian,Carroll,ASP,66553,10,5,,,,0.0013,AR,05003,likely-r
Howie,Hawkins,Grn,32916,9,5,,,,0.0011,AR,05003,likely-r
